
Changing Workbook
C:/Models/OpenWind/Workbooks/OpenWind_Model.blb
Replaced NREL 5 MW with C:\Python27\NREL-Models\WISDEM\Plant_AEPSE\src\Plant_AEPSE\Openwind\Enterprise/Turbine_Model.owtg
		Total Direction Steps=72	 	 	 	 	 	 	Total Direction Steps=72	 	 	 	 	 	 	
		First Direction Step=0	 	 	 	 	 	 	First Direction Step=0	 	 	 	 	 	 	
		Last Direction Step=71	 	 	 	 	 	 	Last Direction Step=71	 	 	 	 	 	 	
		Direction Offset [degs]=0.000000	 	 	 	 	 	 	Direction Offset [degs]=0.000000	 	 	 	 	 	 	
		First Wind Speed=0.000000	 	 	 	 	 	 	First Wind Speed=0.000000	 	 	 	 	 	 	
		Last Wind Speed=70.000000	 	 	 	 	 	 	Last Wind Speed=70.000000	 	 	 	 	 	 	
		Wind Speed Step=1.000000	 	 	 	 	 	 	Wind Speed Step=1.000000	 	 	 	 	 	 	
		Wake Model=DAWM Eddy-Viscosity	 	 	 	 	 	 	Wake Model=Modified Park	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Site	Index	Gross [kWh]	Net [kWh]	Array Efficiency [%%]	Free Speed [m/s]	Mean Speed [m/s]	Turbulence Intensity [%%]	TI@15 [%%]	Gross [kWh]	Net [kWh]	Array Efficiency [%%]	Free Speed [m/s]	Mean Speed [m/s]	Turbulence Intensity [%%]	TI@15 [%%]	
Site from 3_Zone_1	33	21035681.412131	20222857.924985	96.135992	8.615597	8.405325	10.707671	10.828852	21035681.412131	20222857.924985	96.135992	8.615597	8.405325	10.707671	10.828852	
Site from 3_Zone_1	34	20970488.587424	19447492.465602	92.737452	8.597602	8.199017	11.337817	11.533224	20970488.587424	19447492.465602	92.737452	8.597602	8.199017	11.337817	11.533224	
Site from 3_Zone_1	35	21024776.403220	20083378.428740	95.522454	8.612585	8.367001	10.750012	10.875829	21024776.403220	20083378.428740	95.522454	8.612585	8.367001	10.750012	10.875829	
Site from 3_Zone_1	36	20885549.743719	19442976.528374	93.092982	8.574214	8.196544	11.147974	11.310066	20885549.743719	19442976.528374	93.092982	8.574214	8.196544	11.147974	11.310066	
Site from 3_Zone_1	37	21037310.984254	20285758.237147	96.427539	8.616047	8.420798	10.678185	10.800541	21037310.984254	20285758.237147	96.427539	8.616047	8.420798	10.678185	10.800541	
Site from 3_Zone_1	38	20984481.334219	19574561.064041	93.281149	8.601462	8.232443	11.197934	11.379057	20984481.334219	19574561.064041	93.281149	8.601462	8.232443	11.197934	11.379057	
Site from 3_Zone_1	39	21030426.528289	20094145.203910	95.547987	8.614147	8.368702	10.763454	10.888088	21030426.528289	20094145.203910	95.547987	8.614147	8.368702	10.763454	10.888088	
Site from 3_Zone_1	40	20906642.808427	19204998.091067	91.860768	8.580015	8.136466	11.466851	11.662563	20906642.808427	19204998.091067	91.860768	8.580015	8.136466	11.466851	11.662563	
Site from 3_Zone_1	41	21038455.073419	20293044.437203	96.456927	8.616364	8.423635	10.683058	10.783050	21038455.073419	20293044.437203	96.456927	8.616364	8.423635	10.683058	10.783050	
Site from 3_Zone_1	42	20997156.673777	19741397.992422	94.019409	8.604960	8.275510	11.029747	11.187560	20997156.673777	19741397.992422	94.019409	8.604960	8.275510	11.029747	11.187560	
